"FamilyID","GenusID","Genus","GAuthor","GNameDK","GNameUK","GCharactersDK","GCharactersUK"
35,644,"Trichopternoides","Wunderlich, 2008",,,,
15,1,"Drassodes","Westring, 1851",,,"Bagkrop tæt fløjlhåret i rødbrune til brungrå farver. Kan godt minde om arter fra sækspinderfamilien (<i>Clubionidae</i>) men har typisk rørformede spindevorter. Slægtens medlemmer har et karakteristisk hak i trochanterne (hofteleddene). Bagerste mediære øjne er ovale. Hanner uden scutum på bagkroppens overside. De tre danske arter er vidt udbredte, men kun en art er almindelig.","The abdomen has dense short hairs making the spiders appear mousy. These spiders are mostly reddish-brown to greyish-brown, and resemble spiders from the Clubionidae. However, the spinners are tubular as characteristic of the Gnaphosidae. The members of the genus are distinguished from other gnaphosids by the deeply notched trochanters. The posterior medial eyes are oval. Males have no scutum."
15,2,"Haplodrassus","Chamberlin, 1922",,,"Ligesom hos <i>Drassyllus</i> er de bagerste mediære øjne ovale, skråtstillede og tættere på hinanden end på de laterale. <i>Haplodrassus</i> afviger ved at hos denne slægt er de distale ender af metatarsi III og IV uden en ventral kam af rækkestillede børster. Hos nogle arten i slægten er der mønstre af sorte streger på forkroppens ellers lysebrune grundfarve, men dette ses bedst hos spritpræparerede dyr. Bagkroppen er hos nogle arter mønstret, men da mønstret er noget varibelt egner det sig ikke til at pålideligt at adskille arterne. Seks arter er fundet i Danmark, men kun én er almindelig.","Carapace elongate and fairly low. The brownish cephalothorax have complex black lines. Head much wider than both row of eyes. The posterior medial eyes are larger than the laterals as well as oval and oblique. Posterior row of eyes has the medials closer to each other than to the laterals. Anterior row of eyes straight or slightly recurved while posterior row is procurved. The distance between the outer edges of anterior medial eyes is about the same as the distance between outer edges of posterior medials. Clypeus low about equal to the distance of one anterior medial eye. Fovea short as in the Clubionidae. Chelicerae strong with lateral condyles. Chelicerae with teeht both on promargin and retromargin. Labium longer than wide and angulate where sides meets posterior border.Sternum does not extend between coxae IV. Trochanters smooth. The distal end of metatarsi III and IV is not furnished with a preening comb. Males do not have a scutum. Some species have vague patterns of chevrons on the abdomen, but these patterns are not reliable in separating the species since the variation within species is considerable. Male palp with a tibial apophysis, the shape of which is important for identification. Sometimes the shape is discernible with a lens allowing for identification in the field. The epigyne is often large and females of some species are also identifiable in the field using a lens. "
15,3,"Scotophaeus","Simon, 1893",,,"Denne slægt indeholder i Nordeuropa tre arter, hvoraf to forekommer i Danmark. Bagkroppen er uden mønster, og fremtræder fedtet sølvgrå grundet den tætte behåring med korte grå hår. Hannerne har scutum, hvilket dog er svært at se hos slægtens almindeligste art <i>S. blackwalli</i>. De bagerste midterøjne er runde og lidt tættere på hinanden end til de laterale. Clypeus er lav, ca. samme højde som diameteren and de forreste mediære øjne. Nataktive jægere som i Nordeuropa kun træffes indendørs i huse.","This genus has three species in Northern Europe of which two occur in Denmark. The abdomen is without a pattern and appear greasy silverish-grey due to the short, dense grey hairs. The males have a conspicious brown abdominal scutum, but is small and therefore not clearly visible for the commonest species of the genus, <i>S. blackwalli</i>. The posterior medial eyes are circular and slightly closer to another than to the laterals. Height of clypeus about the same as the diameter of an anterior medial eye. In Northern Europe the species are found exclusively within houses where they wander about at nighttime."
15,4,"Zelotes","Gistel, 1848",,,"Brunsorte til sorte edderkopper uden bagkropsmønster. Kan forveksles med mørke arter af <i>Drassyllus</i>. Bagerste mediære øjne af samme størrelse som de laterale eller allerhøjst en lille smule større. Bagerste øjenrække lige, sjældent fremadbøjet, og øjnene er placeret lige langt fra hinanden. Øjenrækkerne er ret korte på grund af at hovedet er smalt, bredden af en øjerække under en trediedel af forkroppen hvor den er bredest.  Forkrop som regel blank, og blankere end bagkroppen. Slægten er nu splittet op i flere slægter, måske fordi den oprindelig var meget artsrig (over halvtreds arter kendt fra Frankrig). Flere arter, især de helt sorte,  er næsten identiske i udseende, og kan kun artsbestemmes med sikkerhed under stereolup. Nogle arter kan adskilles på benenes fordeling af sorte og lyse farver.","Brownish-black to black spiders without markings. Resemble dark species of <i>Drassyllus</i>. Posterior medial eyes are of about the the same size as the laterals. Posterior eyerow is straight, rarely procurved and eyes equidistant. The eye rows are short due to a narrow head region, the width of an eyerow less than one third of the width of the carapace at its widest point. The carapace is usually shiny and shinier than the abdomen. Some species of the genus have been moved to other genera probably because it used to be species rich with more than fifty species known from France. Several species are almost identical and needs microscopic examination of the genitialia to be separated with certainity. Some species may in some cases be identified by the markings on the legs."
15,5,"Gnaphosa","Latreille, 1804",,,"De fleste arter med mørkebrun forkrop. Bagkrop enten mørkebrun, gråsort eller sort og tæthåret. Slægten adskilles fra familiens øvrige slægter ved at have den bagerste øjenrække tilbagebøjet.","Most species with dark brown cephalothorax. The abdomes is either dark brown, greyish-black or black, thickly covered with grey hairs. The genus is characterized by having the posterior row of eyes recurved."
15,8,"Phaeocedus","Simon, 1893",,,,
15,10,"Micaria","Westring, 1851",,,"En lidt særstillet slægt, som tidligere har  været placeret i sækspinderfamilen (Clubionidae). En fordybning i munddelenes enditer, og den ofte ovale form af de bagerste, midterøjne har bevirket, at slægten er havnet i Gnaphosidae. For- og bagkrop er dækket af flade, mørke skælhår, ofte med kontrasterende hvide prikker eller streger. Skælhårene er ofte med metalglans. Slanke, myrelignende edderkopper som løber hurtigt omkring på tørre og varme steder.","This genus has previously been assigned to the Clubionidae by some workers. A depression across the endites and the often oval posterior medial eyes has resulted in its present status as a gnaphosid genus. Tne cephalothorax and abdomen is covered with flattened dark scales, usually iridecent and sometimes with contrasting white spots or stripes. Slim, antlike spiders running rapidly over the ground in dry and warm places."
16,11,"Clubiona","Latreille, 1804",,"Leaf curling sac spiders","Kompakte, små til mellemstore edderkopper med oval forkrop og let fremspringende hoved. Øjenene sidder  i to rækker, den bagerste række er bred med alle øjne runde. Det kan godt virke som om der er seks øjne i den forreste række, da begge rækkers laterale øjne er ret tæt på hinanden.  Arterne er sparsomt behårede, og for det meste med ensfarvede bagkroppe i gule, orange eller brune farver, sommetider med mørkere hjertemærke. Ganske få arter har et karakteristisk sildebensmønster længere tilbage på bagkroppen. Spinder sækformede retræter, der kan være åbne i begge ender eller lukkede, og som anlægges i sammenrullede løvblade, sammenbøjede græsblade, eller bag bark og under objekter på jorden. Sækspinderne er nataktive, og opholder sig om dagen i retræterne, som også benyttes til hudskifte, parring, æglægning og overvintring. De benytter ikke fangspind. Nogle arter er vanskelige, at adskille uden brug af stereolup.","Compact, small to medium sized spiders with oval cephalothorax and slightly protruding, broad head. There are two rows of eyes, the eyes of the posterior row widely set apart. It may appear as there are six eyes in the front row since the laterals of both rows are fairly close together. Anterior row recurved. Posterior row straight or slightly recurved. Fovea short, dark and shallow but quite indistinct in species with relatively dense silky hairing on carapace. Labium longer than wide. Maxilla with scopulae. Endites without a transverse or oblique depression. Legs long with leg IV longest. Tarsi with conspicuous scopulae, two-clawed (claws long). Abdomen elongate with sparse to rather dense coverage of silky hairs depending on species. Hues of yellow, orange and brown are the prevailing body colours, sometimes the cardiac mark is darker. A few species have the cardiac mark followed by chevrons. Anterior spinners conical and and situated close together or contiguous. The two sexes do not differ much. Compared to females, males are slightly smaller, often with chelicerae longer and more tapering and the legs are relatively longer."
17,13,"Agroeca","Westring, 1861",,,"Forkrop har normalt ret tydelige markeringer i form af nogle mørke, kantede løkker som udgår fra fovea.  Bagkrop med utydeligt v- eller w-formet mønster eller mørke, skråtstillede pletter i rækker eller tværbånd. Bagerste øjenrække tydeligt fremadbøjet. Metatarsus i og II med tre par ventrale torne. De tre danske arter kan adkilles på bagkroppens grundfarve og kropslængden.","The carapace usually with clear markings in the shape of characteristic angular loops radiating from the fovea. The abdomen with vague v- or w-shaped pattern or dark oblique spots or bars arranged in rows. The posterior row of eyes markedly procurved. Metatarsus I and II with three pairs of ventral spines. The Danish species can be identified in the field by their bodycolour and size."
